,observed,value
147,2024-12-07 03:00:00+00:00,3.266666666666667
148,2024-12-07 04:00:00+00:00,3.9333333333333336
149,2024-12-07 05:00:00+00:00,4.516666666666667
150,2024-12-07 06:00:00+00:00,4.933333333333333
151,2024-12-07 07:00:00+00:00,5.816666666666666
152,2024-12-07 08:00:00+00:00,5.95
153,2024-12-07 09:00:00+00:00,7.033333333333334
154,2024-12-07 10:00:00+00:00,6.45
155,2024-12-07 11:00:00+00:00,6.783333333333334
156,2024-12-07 12:00:00+00:00,6.7
157,2024-12-07 13:00:00+00:00,6.2
158,2024-12-07 14:00:00+00:00,6.533333333333334
159,2024-12-07 15:00:00+00:00,6.033333333333334
160,2024-12-07 16:00:00+00:00,6.283333333333334
161,2024-12-07 17:00:00+00:00,5.5
162,2024-12-07 18:00:00+00:00,5.033333333333333
163,2024-12-07 19:00:00+00:00,5.483333333333333
164,2024-12-07 20:00:00+00:00,5.6000000000000005
165,2024-12-07 21:00:00+00:00,4.966666666666667
166,2024-12-07 22:00:00+00:00,5.766666666666667
167,2024-12-07 23:00:00+00:00,7.116666666666667
168,2024-12-08 00:00:00+00:00,7.2
