{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 97440, 'variables': 49056, 'status': 'optimal', 'result': 264527.3897409764, 'setup_time': 0.01916790008544922, 'dataflow_time': 8.025950908660889, 'optimizer_time': 158.85185194015503, 'execution_mode': 'serial', 'l': 4, 'T': 24, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 97440, 'variables': 49056, 'status': 'optimal', 'result': 264527.3897409764, 'setup_time': 0.013085603713989258, 'dataflow_time': 12.16634726524353, 'optimizer_time': 159.7922341823578, 'execution_mode': 'parallel', 'l': 4, 'T': 24, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 6720, 'variables': 4032, 'status': 'optimal', 'result': 4059.560489055937, 'setup_time': 0.0004405975341796875, 'dataflow_time': 0.14981389045715332, 'optimizer_time': 8.226585626602173, 'execution_mode': 'serial', 'l': 4, 'T': 48, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 6720, 'variables': 4032, 'status': 'optimal', 'result': 4059.560489055937, 'setup_time': 0.0005726814270019531, 'dataflow_time': 0.2945213317871094, 'optimizer_time': 7.939653158187866, 'execution_mode': 'parallel', 'l': 4, 'T': 48, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 22080, 'variables': 11712, 'status': 'optimal', 'result': 47096.81448909285, 'setup_time': 0.0015244483947753906, 'dataflow_time': 1.9801652431488037, 'optimizer_time': 22.959014415740967, 'execution_mode': 'serial', 'l': 4, 'T': 48, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 22080, 'variables': 11712, 'status': 'optimal', 'result': 47096.81448909285, 'setup_time': 0.0019099712371826172, 'dataflow_time': 1.0583014488220215, 'optimizer_time': 24.703799962997437, 'execution_mode': 'parallel', 'l': 4, 'T': 48, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 41280, 'variables': 21312, 'status': 'optimal', 'result': 101601.05066486227, 'setup_time': 0.004893302917480469, 'dataflow_time': 1.333956241607666, 'optimizer_time': 48.23923182487488, 'execution_mode': 'serial', 'l': 4, 'T': 48, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 41280, 'variables': 21312, 'status': 'optimal', 'result': 101601.05066486227, 'setup_time': 0.00495600700378418, 'dataflow_time': 2.1002612113952637, 'optimizer_time': 45.96629571914673, 'execution_mode': 'parallel', 'l': 4, 'T': 48, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 194880, 'variables': 98112, 'status': 'optimal', 'result': 541717.122873734, 'setup_time': 0.014644384384155273, 'dataflow_time': 7.8865320682525635, 'optimizer_time': 505.52916741371155, 'execution_mode': 'serial', 'l': 4, 'T': 48, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 194880, 'variables': 98112, 'status': 'optimal', 'result': 541717.122873734, 'setup_time': 0.01134943962097168, 'dataflow_time': 11.0350923538208, 'optimizer_time': 481.77654933929443, 'execution_mode': 'parallel', 'l': 4, 'T': 48, 'no_homes': 500}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 13440, 'variables': 8064, 'status': 'optimal', 'result': 14272.767587770204, 'setup_time': 0.0007464885711669922, 'dataflow_time': 0.4085536003112793, 'optimizer_time': 16.9129421710968, 'execution_mode': 'serial', 'l': 4, 'T': 96, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 13440, 'variables': 8064, 'status': 'optimal', 'result': 14272.767587770204, 'setup_time': 0.0005624294281005859, 'dataflow_time': 0.2509133815765381, 'optimizer_time': 17.274739265441895, 'execution_mode': 'parallel', 'l': 4, 'T': 96, 'no_homes': 10}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 44160, 'variables': 23424, 'status': 'optimal', 'result': 101730.25384602917, 'setup_time': 0.001219034194946289, 'dataflow_time': 0.647907018661499, 'optimizer_time': 52.49381422996521, 'execution_mode': 'serial', 'l': 4, 'T': 96, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 44160, 'variables': 23424, 'status': 'optimal', 'result': 101730.25384602917, 'setup_time': 0.0014126300811767578, 'dataflow_time': 1.0756804943084717, 'optimizer_time': 51.029815673828125, 'execution_mode': 'parallel', 'l': 4, 'T': 96, 'no_homes': 50}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 82560, 'variables': 42624, 'status': 'optimal', 'result': 211750.43988684198, 'setup_time': 0.002821683883666992, 'dataflow_time': 1.3150033950805664, 'optimizer_time': 128.34372758865356, 'execution_mode': 'serial', 'l': 4, 'T': 96, 'no_homes': 100}
{'implementation': 'our microgrid demo', 'solver': 'CBC', 'parameters': 0, 'constraints': 82560, 'variables': 42624, 'status': 'optimal', 'result': 211750.43988684198, 'setup_time': 0.003885030746459961, 'dataflow_time': 2.263059616088867, 'optimizer_time': 137.72424626350403, 'execution_mode': 'parallel', 'l': 4, 'T': 96, 'no_homes': 100}
